,precision,recall,f1-score,support
q-fin.TR,0.07936507936507936,0.35714285714285715,0.12987012987012986,14.0
quant-ph,0.2553191489361702,0.3,0.27586206896551724,40.0
stat.AP,0.6666666666666666,0.1,0.17391304347826086,40.0
stat.CO,0.14285714285714285,0.125,0.13333333333333333,40.0
stat.ME,0.11842105263157894,0.225,0.15517241379310345,40.0
stat.ML,0.0,0.0,0.0,5.0
stat.OT,0.07692307692307693,0.04,0.05263157894736842,25.0
accuracy,0.20471894517696043,0.20471894517696043,0.20471894517696043,0.20471894517696043
macro avg,0.17838280859431854,0.20489507231913381,0.15794239334505902,5764.0
weighted avg,0.18175769410758985,0.20471894517696043,0.15941583559529313,5764.0
